,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Notes
0.0,2024-12-03,North Carolina A&T,71,Hampton,82,,
0.0,2024-12-03,Northwestern,79,Iowa,80,,
0.0,2024-12-03,Evansville,61,Murray State,63,,
1.0,2024-12-03,Bradley,83,Southern Illinois,60,,
1.0,2024-12-03,Washington,58,UCLA,69,,
2.0,2024-12-03,Michigan,67,Wisconsin,64,,
2.0,2024-12-04,Illinois State,97,Belmont,99,OT,
0.0,2024-12-04,Rider,75,Fairfield,78,,
0.0,2024-12-04,San Diego State,84,Fresno State,62,,
0.0,2024-12-04,Green Bay,75,IU Indy,84,,
3.0,2024-12-04,Northern Iowa,83,Illinois-Chicago,56,,
3.0,2024-12-04,Ohio State,59,Maryland,83,,
4.0,2024-12-04,Michigan State,90,Minnesota,72,,
1.0,2024-12-04,San Jose State,77,New Mexico,83,,
1.0,2024-12-04,Youngstown State,72,Robert Morris,58,,
5.0,2024-12-04,Oregon,68,Southern California,60,,
2.0,2024-12-04,Wyoming,67,Utah State,70,,
0.0,2024-12-05,Long Beach State,73,Cal State Fullerton,56,,
1.0,2024-12-05,UC Riverside,68,Cal State Northridge,64,,
2.0,2024-12-05,Purdue Fort Wayne,78,Detroit Mercy,79,,
0.0,2024-12-05,East Texas A&M,79,Houston Christian,83,,
1.0,2024-12-05,Northwestern State,72,Incarnate Word,70,,
3.0,2024-12-05,Cleveland State,67,Milwaukee,79,,
2.0,2024-12-05,Southeastern Louisiana,64,Nicholls State,67,,
4.0,2024-12-05,Wright State,64,Oakland,66,,
6.0,2024-12-05,Purdue,70,Penn State,81,,
3.0,2024-12-05,Lamar,65,Texas A&M-Corpus Christi,61,,
4.0,2024-12-05,Stephen F. Austin,65,Texas-Rio Grande Valley,68,,
2.0,2024-12-05,Cal Poly,66,UC Davis,77,,
3.0,2024-12-05,Cal State Bakersfield,66,UC Irvine,82,,
4.0,2024-12-05,UC San Diego,84,UC Santa Barbara,76,,
4.0,2024-12-05,Drake,66,Valparaiso,60,,
1.0,2024-12-06,Merrimack,60,Canisius,52,,
2.0,2024-12-06,Mount St. Mary's,50,Marist,53,,
3.0,2024-12-06,Siena,68,Niagara,69,,
7.0,2024-12-06,Illinois,66,Northwestern,70,OT,
4.0,2024-12-06,Quinnipiac,72,Rider,67,,
5.0,2024-12-06,Iona,59,Sacred Heart,83,,
6.0,2024-12-06,Manhattan,70,Saint Peter's,67,,
5.0,2024-12-07,Cal State Northridge,102,Cal Poly,91,,
0.0,2024-12-07,Stanford,89,California,81,,
5.0,2024-12-07,Wright State,80,Detroit Mercy,72,,
6.0,2024-12-07,Cleveland State,83,Green Bay,61,,
5.0,2024-12-07,Northwestern State,64,Houston Christian,57,,
7.0,2024-12-07,Northern Kentucky,66,IU Indy,64,,
6.0,2024-12-07,East Texas A&M,53,Incarnate Word,65,,
6.0,2024-12-07,Hawaii,68,Long Beach State,76,,
1.0,2024-12-07,Clemson,65,Miami (FL),55,,
8.0,2024-12-07,Iowa,83,Michigan,85,,
9.0,2024-12-07,Nebraska,52,Michigan State,89,,
5.0,2024-12-07,Indiana State,80,Missouri State,77,,
2.0,2024-12-07,Florida State,74,NC State,84,OT,
7.0,2024-12-07,New Orleans,70,Nicholls State,73,,
3.0,2024-12-07,Georgia Tech,65,North Carolina,68,,
4.0,2024-12-07,Syracuse,64,Notre Dame,69,,
10.0,2024-12-07,Rutgers,66,Ohio State,80,,
5.0,2024-12-07,Virginia,51,Southern Methodist,63,,
8.0,2024-12-07,Stephen F. Austin,48,Texas A&M-Corpus Christi,67,,
9.0,2024-12-07,Lamar,84,Texas-Rio Grande Valley,52,,
7.0,2024-12-07,UC Santa Barbara,60,UC Davis,71,,
8.0,2024-12-07,Cal State Fullerton,68,UC Riverside,75,,
9.0,2024-12-07,Cal State Bakersfield,60,UC San Diego,81,,
6.0,2024-12-07,Pittsburgh,64,Virginia Tech,59,,
7.0,2024-12-07,Boston College,66,Wake Forest,72,,
11.0,2024-12-07,Southern California,85,Washington,61,,
8.0,2024-12-07,Oakland,50,Youngstown State,66,,
7.0,2024-12-08,Siena,66,Canisius,53,,
8.0,2024-12-08,Saint Peter's,63,Iona,72,,
8.0,2024-12-08,Duke,76,Louisville,65,,
9.0,2024-12-08,Marist,82,Manhattan,75,,
10.0,2024-12-08,Fairfield,94,Mount St. Mary's,101,,
11.0,2024-12-08,Merrimack,80,Niagara,62,,
12.0,2024-12-08,UCLA,73,Oregon,71,,
13.0,2024-12-08,Maryland,78,Purdue,83,,
9.0,2024-12-08,Robert Morris,77,Purdue Fort Wayne,82,,
12.0,2024-12-08,Sacred Heart,73,Quinnipiac,83,,
14.0,2024-12-09,Minnesota,67,Indiana,82,,
0.0,2024-12-10,Providence,70,DePaul,63,OT,
15.0,2024-12-10,Wisconsin,80,Illinois,86,,
16.0,2024-12-10,Penn State,76,Rutgers,80,,
10.0,2024-12-11,Milwaukee,88,Green Bay,67,,
11.0,2024-12-11,IU Indy,76,Purdue Fort Wayne,78,,
17.0,2024-12-13,Indiana,68,Nebraska,85,,
1.0,2024-12-17,St. John's (NY),,DePaul,,,
2.0,2024-12-17,Seton Hall,,Villanova,,,
0.0,2024-12-17,Tennessee Tech,,Western Illinois,,,
3.0,2024-12-18,Xavier,,Connecticut,,,
4.0,2024-12-18,Creighton,,Georgetown,,,
6.0,2024-12-18,Murray State,,Indiana State,,,
0.0,2024-12-18,Appalachian State,,Louisiana,,,
5.0,2024-12-18,Butler,,Marquette,,,
12.0,2024-12-18,Detroit Mercy,,Northern Kentucky,,,
13.0,2024-12-18,Youngstown State,,Wright State,,,
14.0,2024-12-19,Oakland,,Cleveland State,,,
1.0,2024-12-19,Tennessee Tech,,Lindenwood,,,
2.0,2024-12-19,Southern Illinois-Edwardsville,,Little Rock,,,
3.0,2024-12-19,Tennessee-Martin,,Morehead State,,,
4.0,2024-12-19,Eastern Illinois,,Southeast Missouri State,,,
5.0,2024-12-19,Tennessee State,,Southern Indiana,,,
6.0,2024-12-20,St. John's (NY),,Providence,,,
1.0,2024-12-21,Coastal Carolina,,Arkansas State,,,
3.0,2024-12-21,Air Force,,Boise State,,,
9.0,2024-12-21,Southern Methodist,,Boston College,,,
7.0,2024-12-21,Connecticut,,Butler,,,
10.0,2024-12-21,Wake Forest,,Clemson,,,
8.0,2024-12-21,Villanova,,Creighton,,,
11.0,2024-12-21,Louisville,,Florida State,,,
12.0,2024-12-21,Duke,,Georgia Tech,,,
6.0,2024-12-21,Western Illinois,,Lindenwood,,,
7.0,2024-12-21,Eastern Illinois,,Little Rock,,,
2.0,2024-12-21,Old Dominion,,Louisiana-Monroe,,,
8.0,2024-12-21,Tennessee State,,Morehead State,,,
4.0,2024-12-21,Colorado State,,Nevada,,,
3.0,2024-12-21,James Madison,,South Alabama,,,
9.0,2024-12-21,Southern Illinois-Edwardsville,,Southeast Missouri State,,,
10.0,2024-12-21,Tennessee-Martin,,Southern Indiana,,,
4.0,2024-12-21,Marshall,,Southern Mississippi,,,
5.0,2024-12-21,Georgia Southern,,Texas State,,,
6.0,2024-12-21,Georgia State,,Troy,,,
9.0,2024-12-21,Marquette,,Xavier,,,
10.0,2024-12-22,Georgetown,,Seton Hall,,,
5.0,2024-12-28,New Mexico,,Colorado State,,,
10.0,2024-12-28,New Orleans,,McNeese State,,,
6.0,2024-12-28,Fresno State,,Nevada-Las Vegas,,,
0.0,2024-12-28,Washington State,,Portland,,,
1.0,2024-12-28,Pacific,,Saint Mary's (CA),,,
7.0,2024-12-28,Utah State,,San Diego State,,,
2.0,2024-12-28,Loyola Marymount,,San Francisco,,,
8.0,2024-12-28,Boise State,,San Jose State,,,
3.0,2024-12-28,Pepperdine,,Santa Clara,,,
9.0,2024-12-28,Nevada,,Wyoming,,,
7.0,2024-12-29,Valparaiso,,Bradley,,,
15.0,2024-12-29,Wright State,,Cleveland State,,,
8.0,2024-12-29,Belmont,,Drake,,,
9.0,2024-12-29,Missouri State,,Evansville,,,
16.0,2024-12-29,Purdue Fort Wayne,,Green Bay,,,
10.0,2024-12-29,Illinois-Chicago,,Illinois State,,,
17.0,2024-12-29,IU Indy,,Milwaukee,,,
11.0,2024-12-29,Southern Illinois,,Northern Iowa,,,
18.0,2024-12-29,Northern Kentucky,,Robert Morris,,,
19.0,2024-12-29,Detroit Mercy,,Youngstown State,,,
0.0,2024-12-30,TCU,,Arizona,,,
1.0,2024-12-30,Iowa State,,Colorado,,,
2.0,2024-12-30,Cincinnati,,Kansas State,,,
11.0,2024-12-30,Southeastern Louisiana,,McNeese State,,,
3.0,2024-12-30,Houston,,Oklahoma State,,,
4.0,2024-12-30,Portland,,Oregon State,,,
5.0,2024-12-30,Gonzaga,,Pepperdine,,,
6.0,2024-12-30,Pacific,,San Diego,,,
7.0,2024-12-30,Santa Clara,,San Francisco,,,
8.0,2024-12-30,Loyola Marymount,,Washington State,,,
10.0,2024-12-31,Nevada-Las Vegas,,Air Force,,,
4.0,2024-12-31,Utah,,Baylor,,,
5.0,2024-12-31,Arizona State,,Brigham Young,,,
0.0,2024-12-31,Tulane,,Charlotte,,,
11.0,2024-12-31,St. John's (NY),,Creighton,,,
0.0,2024-12-31,La Salle,,Dayton,,,
13.0,2024-12-31,Virginia Tech,,Duke,,,
1.0,2024-12-31,Rhode Island,,Duquesne,,,
2.0,2024-12-31,Saint Louis,,Fordham,,,
11.0,2024-12-31,New Mexico,,Fresno State,,,
3.0,2024-12-31,Davidson,,George Mason,,,
14.0,2024-12-31,Notre Dame,,Georgia Tech,,,
6.0,2024-12-31,West Virginia,,Kansas,,,
12.0,2024-12-31,Utah State,,Nevada,,,
1.0,2024-12-31,UAB,,North Texas,,,
12.0,2024-12-31,Marquette,,Providence,,,
4.0,2024-12-31,George Washington,,Richmond,,,
5.0,2024-12-31,Massachusetts,,Saint Joseph's,,,
13.0,2024-12-31,Colorado State,,San Jose State,,,
2.0,2024-12-31,East Carolina,,South Florida,,,
11.0,2024-12-31,Morehead State,,Southern Indiana,,,
6.0,2024-12-31,Virginia Commonwealth,,St. Bonaventure,,,
15.0,2024-12-31,Wake Forest,,Syracuse,,,
7.0,2024-12-31,UCF,,Texas Tech,,,
16.0,2024-12-31,NC State,,Virginia,,,
14.0,2024-12-31,Boise State,,Wyoming,,,
13.0,2024-12-31,Seton Hall,,Xavier,,,
17.0,2025-01-01,Miami (FL),,Boston College,,,
14.0,2025-01-01,Villanova,,Butler,,,
18.0,2025-01-01,Stanford,,Clemson,,,
15.0,2025-01-01,Connecticut,,DePaul,,,
0.0,2025-01-01,Virginia Military Institute,,East Tennessee State,,,
21.0,2025-01-01,Youngstown State,,IU Indy,,,
12.0,2025-01-01,Drake,,Illinois-Chicago,,,
13.0,2025-01-01,Bradley,,Indiana State,,,
19.0,2025-01-01,North Carolina,,Louisville,,,
1.0,2025-01-01,Chattanooga,,Mercer,,,
14.0,2025-01-01,Valparaiso,,Missouri State,,,
15.0,2025-01-01,Belmont,,Northern Iowa,,,
22.0,2025-01-01,Purdue Fort Wayne,,Northern Kentucky,,,
21.0,2025-01-01,California,,Pittsburgh,,,
2.0,2025-01-01,The Citadel,,Samford,,,
16.0,2025-01-01,Evansville,,Southern Illinois,,,
3.0,2025-01-01,Rice,,Tulsa,,,
3.0,2025-01-01,Furman,,Western Carolina,,,
4.0,2025-01-01,UNC Greensboro,,Wofford,,,
7.0,2025-01-02,Troy,,Appalachian State,,,
10.0,2025-01-02,UC Irvine,,Cal Poly,,,
11.0,2025-01-02,UC Davis,,Cal State Bakersfield,,,
12.0,2025-01-02,Cal State Northridge,,Cal State Fullerton,,,
1.0,2025-01-02,Drexel,,Campbell,,,
0.0,2025-01-02,Eastern Kentucky,,Central Arkansas,,,
0.0,2025-01-02,Gardner-Webb,,Charleston Southern,,,
8.0,2025-01-02,Louisiana,,Coastal Carolina,,,
0.0,2025-01-02,Army,,Colgate,,,
2.0,2025-01-02,Hampton,,College of Charleston,,,
23.0,2025-01-02,Robert Morris,,Detroit Mercy,,,
12.0,2025-01-02,Lindenwood,,Eastern Illinois,,,
0.0,2025-01-02,Montana,,Eastern Washington,,,
4.0,2025-01-02,Memphis,,Florida Atlantic,,,
0.0,2025-01-02,Middle Tennessee,,Florida International,,,
9.0,2025-01-02,Louisiana-Monroe,,Georgia Southern,,,
10.0,2025-01-02,South Alabama,,Georgia State,,,
9.0,2025-01-02,Portland,,Gonzaga,,,
1.0,2025-01-02,Radford,,High Point,,,
3.0,2025-01-02,William & Mary,,Hofstra,,,
1.0,2025-01-02,Loyola (MD),,Holy Cross,,,
1.0,2025-01-02,Montana State,,Idaho,,,
18.0,2025-01-02,Rutgers,,Indiana,,,
1.0,2025-01-02,Lipscomb,,Jacksonville,,,
11.0,2025-01-02,Southern Mississippi,,James Madison,,,
0.0,2025-01-02,South Dakota,,Kansas City,,,
2.0,2025-01-02,Boston University,,Lafayette,,,
3.0,2025-01-02,Bucknell,,Lehigh,,,
1.0,2025-01-02,Western Kentucky,,Liberty,,,
13.0,2025-01-02,UC Riverside,,Long Beach State,,,
10.0,2025-01-02,Oregon State,,Loyola Marymount,,,
12.0,2025-01-02,Texas State,,Marshall,,,
19.0,2025-01-02,Purdue,,Minnesota,,,
4.0,2025-01-02,Stony Brook,,Monmouth,,,
17.0,2025-01-02,Illinois State,,Murray State,,,
4.0,2025-01-02,American,,Navy,,,
2.0,2025-01-02,Sam Houston,,New Mexico State,,,
2.0,2025-01-02,Bellarmine,,North Alabama,,,
5.0,2025-01-02,Elon,,North Carolina A&T,,,
1.0,2025-01-02,Omaha,,North Dakota,,,
2.0,2025-01-02,St. Thomas,,North Dakota State,,,
3.0,2025-01-02,Austin Peay,,North Florida,,,
6.0,2025-01-02,Delaware,,Northeastern,,,
2.0,2025-01-02,Idaho State,,Northern Arizona,,,
3.0,2025-01-02,Weber State,,Northern Colorado,,,
24.0,2025-01-02,Milwaukee,,Oakland,,,
13.0,2025-01-02,Arkansas State,,Old Dominion,,,
21.0,2025-01-02,Illinois,,Oregon,,,
11.0,2025-01-02,San Francisco,,Pacific,,,
22.0,2025-01-02,Northwestern,,Penn State,,,
2.0,2025-01-02,Longwood,,Presbyterian,,,
4.0,2025-01-02,Stetson,,Queens (NC),,,
12.0,2025-01-02,Pepperdine,,Saint Mary's (CA),,,
13.0,2025-01-02,Santa Clara,,San Diego,,,
3.0,2025-01-02,Denver,,South Dakota State,,,
13.0,2025-01-02,Western Illinois,,Southern Illinois-Edwardsville,,,
14.0,2025-01-02,Southeast Missouri State,,Tennessee State,,,
15.0,2025-01-02,Southern Indiana,,Tennessee Tech,,,
16.0,2025-01-02,Little Rock,,Tennessee-Martin,,,
7.0,2025-01-02,Towson,,UNC Wilmington,,,
3.0,2025-01-02,Louisiana Tech,,UTEP,,,
23.0,2025-01-02,Maryland,,Washington,,,
5.0,2025-01-02,Florida Gulf Coast,,West Georgia,,,
3.0,2025-01-02,South Carolina Upstate,,Winthrop,,,
25.0,2025-01-02,Green Bay,,Wright State,,,
0.0,2025-01-03,Akron,,Bowling Green State,,,
16.0,2025-01-03,Xavier,,Georgetown,,,
14.0,2025-01-03,UC Santa Barbara,,Hawaii,,,
13.0,2025-01-03,Marist,,Iona,,,
0.0,2025-01-03,Le Moyne,,Long Island University,,,
17.0,2025-01-03,Creighton,,Marquette,,,
1.0,2025-01-03,Stonehill,,Mercyhurst,,,
14.0,2025-01-03,Fairfield,,Merrimack,,,
15.0,2025-01-03,Nevada,,New Mexico,,,
24.0,2025-01-03,Michigan State,,Ohio State,,,
2.0,2025-01-03,Central Connecticut State,,Saint Francis (PA),,,
7.0,2025-01-03,Saint Joseph's,,Saint Louis,,,
15.0,2025-01-03,Quinnipiac,,Saint Peter's,,,
16.0,2025-01-03,Manhattan,,Siena,,,
5.0,2025-01-03,Wichita State,,Temple,,,
3.0,2025-01-03,Chicago State,,Wagner,,,
25.0,2025-01-03,Iowa,,Wisconsin,,,
16.0,2025-01-04,Wyoming,,Air Force,,,
0.0,2025-01-04,Oklahoma,,Alabama,,,
0.0,2025-01-04,Arkansas-Pine Bluff,,Alabama A&M,,,
1.0,2025-01-04,Mississippi Valley State,,Alabama State,,,
0.0,2025-01-04,Massachusetts-Lowell,,Albany (NY),,,
2.0,2025-01-04,Jackson State,,Alcorn State,,,
14.0,2025-01-04,Texas State,,Appalachian State,,,
8.0,2025-01-04,Colorado,,Arizona State,,,
1.0,2025-01-04,Missouri,,Auburn,,,
18.0,2025-01-04,Illinois-Chicago,,Belmont,,,
1.0,2025-01-04,Maryland-Baltimore County,,Binghamton,,,
17.0,2025-01-04,San Diego State,,Boise State,,,
19.0,2025-01-04,Missouri State,,Bradley,,,
2.0,2025-01-04,Maine,,Bryant,,,
15.0,2025-01-04,Long Beach State,,Cal State Bakersfield,,,
16.0,2025-01-04,UC San Diego,,Cal State Fullerton,,,
17.0,2025-01-04,UC Davis,,Cal State Northridge,,,
0.0,2025-01-04,Seattle,,California Baptist,,,
6.0,2025-01-04,Bellarmine,,Central Arkansas,,,
1.0,2025-01-04,Ohio,,Central Michigan,,,
9.0,2025-01-04,Arizona,,Cincinnati,,,
22.0,2025-01-04,California,,Clemson,,,
26.0,2025-01-04,IU Indy,,Cleveland State,,,
15.0,2025-01-04,Louisiana-Monroe,,Coastal Carolina,,,
8.0,2025-01-04,Towson,,College of Charleston,,,
0.0,2025-01-04,North Carolina Central,,Coppin State,,,
8.0,2025-01-04,Duquesne,,Davidson,,,
9.0,2025-01-04,Monmouth,,Delaware,,,
27.0,2025-01-04,Milwaukee,,Detroit Mercy,,,
5.0,2025-01-04,Wofford,,East Tennessee State,,,
12.0,2025-01-04,McNeese State,,East Texas A&M,,,
17.0,2025-01-04,Western Illinois,,Eastern Illinois,,,
2.0,2025-01-04,Northern Illinois,,Eastern Michigan,,,
4.0,2025-01-04,Montana State,,Eastern Washington,,,
10.0,2025-01-04,Hampton,,Elon,,,
21.0,2025-01-04,Indiana State,,Evansville,,,
3.0,2025-01-04,Bethune-Cookman,,Florida A&M,,,
4.0,2025-01-04,Western Kentucky,,Florida International,,,
23.0,2025-01-04,Syracuse,,Florida State,,,
9.0,2025-01-04,St. Bonaventure,,Fordham,,,
4.0,2025-01-04,Presbyterian,,Gardner-Webb,,,
10.0,2025-01-04,Dayton,,George Washington,,,
16.0,2025-01-04,South Alabama,,Georgia Southern,,,
17.0,2025-01-04,Louisiana,,Georgia State,,,
24.0,2025-01-04,Boston College,,Georgia Tech,,,
1.0,2025-01-04,Southern Utah,,Grand Canyon,,,
10.0,2025-01-04,Brigham Young,,Houston,,,
1.0,2025-01-04,Delaware State,,Howard,,,
5.0,2025-01-04,Montana,,Idaho,,,
11.0,2025-01-04,Baylor,,Iowa State,,,
7.0,2025-01-04,Austin Peay,,Jacksonville,,,
18.0,2025-01-04,Arkansas State,,James Madison,,,
4.0,2025-01-04,Oral Roberts,,Kansas City,,,
5.0,2025-01-04,Jacksonville State,,Kennesaw State,,,
3.0,2025-01-04,Ball State,,Kent State,,,
2.0,2025-01-04,Florida,,Kentucky,,,
13.0,2025-01-04,Houston Christian,,Lamar,,,
6.0,2025-01-04,Middle Tennessee,,Liberty,,,
5.0,2025-01-04,Charleston Southern,,Longwood,,,
3.0,2025-01-04,Vanderbilt,,Louisiana State,,,
11.0,2025-01-04,Virginia Commonwealth,,Loyola (IL),,,
14.0,2025-01-04,Gonzaga,,Loyola Marymount,,,
19.0,2025-01-04,Troy,,Marshall,,,
12.0,2025-01-04,Richmond,,Massachusetts,,,
4.0,2025-01-04,Buffalo,,Miami (OH),,,
4.0,2025-01-04,Georgia,,Mississippi,,,
5.0,2025-01-04,South Carolina,,Mississippi State,,,
2.0,2025-01-04,South Carolina State,,Morgan State,,,
26.0,2025-01-04,UCLA,,Nebraska,,,
18.0,2025-01-04,San Jose State,,Nevada-Las Vegas,,,
3.0,2025-01-04,Vermont,,New Hampshire,,,
7.0,2025-01-04,Louisiana Tech,,New Mexico State,,,
14.0,2025-01-04,Texas-Rio Grande Valley,,New Orleans,,,
3.0,2025-01-04,Maryland-Eastern Shore,,Norfolk State,,,
8.0,2025-01-04,Eastern Kentucky,,North Alabama,,,
11.0,2025-01-04,Drexel,,North Carolina A&T,,,
5.0,2025-01-04,St. Thomas,,North Dakota,,,
6.0,2025-01-04,Omaha,,North Dakota State,,,
9.0,2025-01-04,Lipscomb,,North Florida,,,
12.0,2025-01-04,Hofstra,,Northeastern,,,
6.0,2025-01-04,Weber State,,Northern Arizona,,,
7.0,2025-01-04,Idaho State,,Northern Colorado,,,
28.0,2025-01-04,Green Bay,,Northern Kentucky,,,
15.0,2025-01-04,Nicholls State,,Northwestern State,,,
25.0,2025-01-04,North Carolina,,Notre Dame,,,
29.0,2025-01-04,Robert Morris,,Oakland,,,
21.0,2025-01-04,Southern Mississippi,,Old Dominion,,,
15.0,2025-01-04,San Diego,,Oregon State,,,
16.0,2025-01-04,Pepperdine,,Pacific,,,
26.0,2025-01-04,Stanford,,Pittsburgh,,,
17.0,2025-01-04,Saint Mary's (CA),,Portland,,,
4.0,2025-01-04,Grambling,,Prairie View,,,
30.0,2025-01-04,Youngstown State,,Purdue Fort Wayne,,,
10.0,2025-01-04,Florida Gulf Coast,,Queens (NC),,,
6.0,2025-01-04,Winthrop,,Radford,,,
13.0,2025-01-04,George Mason,,Rhode Island,,,
6.0,2025-01-04,Charlotte,,Rice,,,
8.0,2025-01-04,Portland State,,Sacramento State,,,
7.0,2025-01-04,Denver,,South Dakota,,,
16.0,2025-01-04,Texas A&M-Corpus Christi,,Southeastern Louisiana,,,
27.0,2025-01-04,Michigan,,Southern California,,,
18.0,2025-01-04,Lindenwood,,Southern Illinois-Edwardsville,,,
27.0,2025-01-04,Duke,,Southern Methodist,,,
18.0,2025-01-04,Butler,,St. John's (NY),,,
17.0,2025-01-04,Incarnate Word,,Stephen F. Austin,,,
13.0,2025-01-04,William & Mary,,Stony Brook,,,
12.0,2025-01-04,Kansas State,,TCU,,,
2.0,2025-01-04,UT Arlington,,Tarleton State,,,
6.0,2025-01-04,Arkansas,,Tennessee,,,
19.0,2025-01-04,Little Rock,,Tennessee State,,,
21.0,2025-01-04,Morehead State,,Tennessee Tech,,,
22.0,2025-01-04,Southeast Missouri State,,Tennessee-Martin,,,
7.0,2025-01-04,Texas,,Texas A&M,,,
5.0,2025-01-04,Southern,,Texas Southern,,,
6.0,2025-01-04,Chattanooga,,The Citadel,,,
7.0,2025-01-04,UTSA,,Tulane,,,
8.0,2025-01-04,Tulsa,,UAB,,,
18.0,2025-01-04,UC Riverside,,UC Irvine,,,
7.0,2025-01-04,High Point,,UNC Asheville,,,
7.0,2025-01-04,Furman,,UNC Greensboro,,,
14.0,2025-01-04,Campbell,,UNC Wilmington,,,
8.0,2025-01-04,Sam Houston,,UTEP,,,
13.0,2025-01-04,Texas Tech,,Utah,,,
19.0,2025-01-04,Fresno State,,Utah State,,,
3.0,2025-01-04,Abilene Christian,,Utah Valley,,,
22.0,2025-01-04,Northern Iowa,,Valparaiso,,,
19.0,2025-01-04,DePaul,,Villanova,,,
28.0,2025-01-04,Louisville,,Virginia,,,
8.0,2025-01-04,Mercer,,Virginia Military Institute,,,
29.0,2025-01-04,Miami (FL),,Virginia Tech,,,
30.0,2025-01-04,NC State,,Wake Forest,,,
18.0,2025-01-04,San Francisco,,Washington State,,,
11.0,2025-01-04,Stetson,,West Georgia,,,
14.0,2025-01-04,Oklahoma State,,West Virginia,,,
9.0,2025-01-04,Samford,,Western Carolina,,,
5.0,2025-01-04,Toledo,,Western Michigan,,,
5.0,2025-01-05,Holy Cross,,American,,,
6.0,2025-01-05,Army,,Boston University,,,
7.0,2025-01-05,Colgate,,Bucknell,,,
21.0,2025-01-05,Providence,,Connecticut,,,
23.0,2025-01-05,Murray State,,Drake,,,
9.0,2025-01-05,Florida Atlantic,,East Carolina,,,
19.0,2025-01-05,Cal Poly,,Hawaii,,,
24.0,2025-01-05,Southern Illinois,,Illinois State,,,
4.0,2025-01-05,Chicago State,,Long Island University,,,
8.0,2025-01-05,Lehigh,,Loyola (MD),,,
17.0,2025-01-05,Quinnipiac,,Marist,,,
10.0,2025-01-05,North Texas,,Memphis,,,
5.0,2025-01-05,Central Connecticut State,,Mercyhurst,,,
18.0,2025-01-05,Niagara,,Mount St. Mary's,,,
9.0,2025-01-05,Lafayette,,Navy,,,
28.0,2025-01-05,Maryland,,Oregon,,,
29.0,2025-01-05,Indiana,,Penn State,,,
30.0,2025-01-05,Northwestern,,Purdue,,,
19.0,2025-01-05,Manhattan,,Rider,,,
21.0,2025-01-05,Canisius,,Sacred Heart,,,
6.0,2025-01-05,Stonehill,,Saint Francis (PA),,,
22.0,2025-01-05,Iona,,Siena,,,
15.0,2025-01-05,Kansas,,UCF,,,
7.0,2025-01-05,FDU,,Wagner,,,
31.0,2025-01-05,Illinois,,Washington,,,
6.0,2025-01-06,Mississippi Valley State,,Alabama A&M,,,
7.0,2025-01-06,Arkansas-Pine Bluff,,Alabama State,,,
4.0,2025-01-06,South Carolina State,,Coppin State,,,
5.0,2025-01-06,Norfolk State,,Delaware State,,,
18.0,2025-01-06,Nicholls State,,East Texas A&M,,,
16.0,2025-01-06,TCU,,Houston,,,
19.0,2025-01-06,Incarnate Word,,Lamar,,,
6.0,2025-01-06,Howard,,Maryland-Eastern Shore,,,
32.0,2025-01-06,Ohio State,,Minnesota,,,
7.0,2025-01-06,North Carolina Central,,Morgan State,,,
21.0,2025-01-06,Texas A&M-Corpus Christi,,New Orleans,,,
22.0,2025-01-06,McNeese State,,Northwestern State,,,
8.0,2025-01-06,Southern,,Prairie View,,,
33.0,2025-01-06,Wisconsin,,Rutgers,,,
23.0,2025-01-06,Texas-Rio Grande Valley,,Southeastern Louisiana,,,
24.0,2025-01-06,Houston Christian,,Stephen F. Austin,,,
9.0,2025-01-06,Grambling,,Texas Southern,,,
11.0,2025-01-06,South Florida,,Wichita State,,,
6.0,2025-01-07,Central Michigan,,Akron,,,
7.0,2025-01-07,Miami (OH),,Ball State,,,
17.0,2025-01-07,Cincinnati,,Baylor,,,
21.0,2025-01-07,Nevada-Las Vegas,,Boise State,,,
18.0,2025-01-07,Texas Tech,,Brigham Young,,,
8.0,2025-01-07,Ohio,,Buffalo,,,
22.0,2025-01-07,Fresno State,,Colorado State,,,
31.0,2025-01-07,Pittsburgh,,Duke,,,
23.0,2025-01-07,Southern Illinois-Edwardsville,,Eastern Illinois,,,
8.0,2025-01-07,Tennessee,,Florida,,,
9.0,2025-01-07,Kentucky,,Georgia,,,
34.0,2025-01-07,Nebraska,,Iowa,,,
19.0,2025-01-07,Utah,,Iowa State,,,
32.0,2025-01-07,Clemson,,Louisville,,,
22.0,2025-01-07,Georgetown,,Marquette,,,
33.0,2025-01-07,Florida State,,Miami (FL),,,
10.0,2025-01-07,Louisiana State,,Missouri,,,
25.0,2025-01-07,Illinois-Chicago,,Missouri State,,,
34.0,2025-01-07,Southern Methodist,,North Carolina,,,
9.0,2025-01-07,Kent State,,Northern Illinois,,,
21.0,2025-01-07,Kansas State,,Oklahoma State,,,
19.0,2025-01-07,Loyola Marymount,,Saint Mary's (CA),,,
23.0,2025-01-07,Air Force,,San Diego State,,,
24.0,2025-01-07,Utah State,,San Jose State,,,
35.0,2025-01-07,Georgia Tech,,Syracuse,,,
11.0,2025-01-07,Auburn,,Texas,,,
10.0,2025-01-07,Eastern Michigan,,Toledo,,,
12.0,2025-01-07,Tulane,,UAB,,,
35.0,2025-01-07,Michigan,,UCLA,,,
13.0,2025-01-07,Tulsa,,UTSA,,,
12.0,2025-01-07,Mississippi State,,Vanderbilt,,,
22.0,2025-01-07,Arizona,,West Virginia,,,
11.0,2025-01-07,Bowling Green State,,Western Michigan,,,
