,Date,time,home_team,away_team
337,2025-04-21,09:45PM,SFG:San Francisco Giants,MIL:Milwaukee Brewers
330,2025-04-21,11:10AM,BOS:Boston Red Sox,CHW:Chicago White Sox
338,2025-04-22,06:10PM,CLE:Cleveland Guardians,NYY:New York Yankees
339,2025-04-22,06:40PM,DET:Detroit Tigers,SDP:San Diego Padres
340,2025-04-22,06:40PM,MIA:Miami Marlins,CIN:Cincinnati Reds
341,2025-04-22,06:45PM,BOS:Boston Red Sox,SEA:Seattle Mariners
342,2025-04-22,06:45PM,WSN:Washington Nationals,BAL:Baltimore Orioles
343,2025-04-22,07:10PM,NYM:New York Mets,PHI:Philadelphia Phillies
344,2025-04-22,07:15PM,ATL:Atlanta Braves,STL:St. Louis Cardinals
345,2025-04-22,07:40PM,CHC:Chicago Cubs,LAD:Los Angeles Dodgers
346,2025-04-22,07:40PM,KCR:Kansas City Royals,COL:Colorado Rockies
347,2025-04-22,07:40PM,MIN:Minnesota Twins,CHW:Chicago White Sox
348,2025-04-22,08:10PM,HOU:Houston Astros,TOR:Toronto Blue Jays
349,2025-04-22,09:38PM,LAA:Los Angeles Angels,PIT:Pittsburgh Pirates
350,2025-04-22,09:40PM,ARI:Arizona D'Backs,TBR:Tampa Bay Rays
351,2025-04-22,09:45PM,SFG:San Francisco Giants,MIL:Milwaukee Brewers
352,2025-04-22,10:05PM,ATH:Athletics,TEX:Texas Rangers
354,2025-04-23,01:10PM,CLE:Cleveland Guardians,NYY:New York Yankees
355,2025-04-23,01:10PM,DET:Detroit Tigers,SDP:San Diego Padres
356,2025-04-23,01:10PM,MIA:Miami Marlins,CIN:Cincinnati Reds
357,2025-04-23,01:10PM,NYM:New York Mets,PHI:Philadelphia Phillies
358,2025-04-23,06:45PM,BOS:Boston Red Sox,SEA:Seattle Mariners
359,2025-04-23,06:45PM,WSN:Washington Nationals,BAL:Baltimore Orioles
360,2025-04-23,07:00PM,CHC:Chicago Cubs,LAD:Los Angeles Dodgers
